"label","text"
"001","Vediamo..."
"002","È una striscia di carta gialla che
dice... ""Auguro a tutti di essere
sempre felici!"""
"003","È una striscia di carta con una foglia
stampata che dice... ""Che l'isola e gli
abitanti continuino a prosperare."""
"004","È una striscia di carta verde che
dice... ""Desidero l'ispirazione per
nuove ricette. Oh, e per nuovi libri!"""
"005","È una striscia di carta rossa che
dice... ""Voglio vivere in una grande
casa con il parcheggio per le moto."""
"006","È una striscia di carta arancione che
dice... ""Voglio essere un eroe! E ci
starebbe anche uno spuntino."""
"007","È una striscia di carta rosa che
dice... ""Voglio essere una superstar!"""
"008","È una striscia di carta dorata che
dice... ""Vorrei seguire le orme
del mio mentore con successo."""
"009","È una striscia di carta spiegazzata
che dice... ""Voglio correre più
veloce e più lontano che mai."""
"011","È una striscia di carta molto lunga.
È una lista dei desideri, corredata
da parole come ""carino"" e ""tosto""."
"012","È una striscia di carta stracciata che
dice... ""Vorrei la forza di continuare
a convivere con gli insetti."""
"013","È una striscia di carta fradicia che
dice... ""Vorrei il coraggio e la forza
del più grande marinaio."""
"017","È una striscia di carta profumata
che dice... ""Sogno ancora di sfilare
sul tappeto rosso."""
"018","È una striscia di carta blu che dice...
""Vorrei un giardino più grande per
dire a più gente di non calpestarlo."""
