"label","text"
"001","An den Bewohner einer anderen Insel."
"002","Hallo, Freund in der Ferne!"
"003","An den Finder."
"004","An einen unbekannten Freund."
"005","An den Leser dieser Nachricht:"
"101","Diese Bastelanleitung wurde durch
eine Szene aus einem Buch
inspiriert, das ich zurzeit lese."
"102","Beim Aufräumen fand ich diese
Bastelanleitung auf einem Stück
Papier, das als Lesezeichen diente."
"103","Diese Bastelanleitung schrieb ich,
während mein Backofen vorheizte.
Warum dauert das immer so lange?"
"104","Heute unternahm ich einen langen
Spaziergang. Dabei fiel mir diese
Bastelanleitung ein."
"105","Mein Traumtagebuch enthielt diese
Bastelanleitung. Doch wann habe
ich sie nur aufgeschrieben?"
"201","Ich möchte auf diese Weise
meine Idee mit anderen teilen."
"202","Ich vertraue meine Idee dem Meer
an und hoffe, jemand findet sie."
"203","Ich hoffe, jemand findet diese
Bastelanleitung und freut sich."
"204","Ich wollte diese Bastelanleitung
nicht für mich allein behalten."
"205","Mir gefällt diese Bastelanleitung
so gut, dass ich sie teilen wollte."
"301","Probiere sie doch einmal aus!"
"302","Wenn du magst, probiere sie aus."
"303","Sie ist auch nicht sehr kompliziert."
"304","Es wäre schön, wenn sie dir gefällt."
"305","Meine Idee gehört nun dir!"
"401","Liebe Grüße, n
"
"402","n
\0, großer Bastel-Fan"
"403","Viele Grüße, n
"
"404","Viel Vergnügen, n
"
"405","Frohes Schaffen, n
"
"501","Die besten Ideen kommen einem
oft unerwartet. Dieser Spiegel hier
zum Beispiel. Vielleicht gefällt er
dir ja genauso gut wie mir. Etwas
Selbstreflexion ist nie verkehrt,
auf welcher Insel man auch wohnt."
